customer_id,date,campaign_group,campaign_start_date,email_opened,clicked_offer,applied_for_card,card_activated,monthly_card_spend,revenue_generated
CUST000001,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000002,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000003,04/02/2024,Control,2024-07-01,No,No,Yes,Yes,$373.34,7.47
CUST000004,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000005,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000006,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000007,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000008,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000009,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000010,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000011,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000012,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000013,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000014,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000015,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000016,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000017,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000018,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000019,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000020,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000021,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000022,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000023,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000024,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000025,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,N/A
CUST000026,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000027,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,N/A
CUST000028,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000029,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000030,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000031,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,N/A
CUST000032,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000033,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,N/A
CUST000034,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000035,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000036,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000037,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000038,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000039,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000040,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,N/A
CUST000041,04/02/2024,Treatment,2024-07-01,Yes,No,No,No,$0.00,0.0
CUST000042,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000043,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000044,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000045,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000046,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000047,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000048,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000049,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000050,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000051,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000052,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000053,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000054,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000055,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000056,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000057,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000058,04/02/2024,Treatment,2024-07-01,No,No,Yes,No,$0.00,N/A
CUST000059,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000060,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000061,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000062,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000063,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000064,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000065,04/02/2024,Treatment,2024-07-01,Yes,No,No,No,$0.00,0.0
CUST000066,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000067,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000068,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000069,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000070,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000071,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000072,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000073,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000074,2024-04-02,Treatment,2024-07-01,Yes,No,No,No,$0.00,0.0
CUST000075,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000076,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000077,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000078,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000079,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000080,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000081,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000082,04/02/2024,Treatment,2024-07-01,No,No,Yes,Yes,"$1,360.22",27.2
CUST000083,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000084,"April 02, 2024",Control,2024-07-01,No,No,Yes,No,$0.00,0.0
CUST000085,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000086,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000087,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000088,04/02/2024,Treatment,2024-07-01,Yes,No,No,No,$0.00,0.0
CUST000089,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000090,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000091,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000092,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000093,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000094,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000095,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000096,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000097,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000098,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000099,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000100,"April 02, 2024",Treatment,2024-07-01,Yes,No,No,No,$0.00,0.0
CUST000101,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000102,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000103,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000104,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000105,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000106,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000107,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000108,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000109,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000110,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000111,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000112,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000113,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000114,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000115,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000116,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000117,04/02/2024,Control,2024-07-01,No,No,Yes,No,$0.00,0.0
CUST000118,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000119,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000120,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000121,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000122,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000123,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000124,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000125,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000126,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000127,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000128,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000129,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000130,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000131,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000132,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000133,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000134,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000135,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000136,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000137,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000138,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000139,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000140,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000141,04/02/2024,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000142,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000143,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000144,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000145,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000146,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,N/A
CUST000147,2024-04-02,Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000148,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000149,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000150,"April 02, 2024",Treatment,2024-07-01,Yes,No,No,No,$0.00,0.0
CUST000151,"April 02, 2024",Treatment,2024-07-01,No,No,No,No,$0.00,0.0
CUST000152,2024-04-02,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000153,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000154,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000155,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000156,04/02/2024,Control,2024-07-01,No,No,No,No,$0.00,0.0
CUST000157,"April 02, 2024",Control,2024-07-01,No,No,No,No,$0.00,0.0
