customer_id,age,income_bracket,account_tenure_months,credit_score_tier,num_products,has_checking,has_savings,has_mortgage,has_auto_loan,has_credit_card,avg_monthly_balance,digital_user,customer_segment
CUST000001,52,30-50K,17,Good,1,1,1,1,0,0,5116.4,0,Standard
CUST000002,42,30-50K,9,Good,1,1,1,1,0,0,1000.57,0,New
CUST000003,54,50-75K,94,Good,2,1,1,1,0,0,21231.3,1,Standard
CUST000004,67,30-50K,24,Good,3,1,0,0,1,0,4632.42,1,Standard
CUST000005,41,30-50K,24,Poor,4,1,0,0,0,0,4056.99,0,Standard
CUST000006,41,50-75K,8,Very Good,3,1,1,0,0,0,1216.83,1,New
CUST000007,68,75-100K,23,Very Good,2,1,1,1,0,0,9058.88,1,Standard
CUST000008,56,75-100K,98,Very Good,1,1,0,0,0,0,5928.47,0,Standard
CUST000009,37,50-75K,21,Good,3,1,0,1,0,0,5406.69,1,Standard
CUST000010,53,<30K,145,Good,2,1,1,0,0,0,15142.27,0,Standard
CUST000011,38,30-50K,140,Good,4,1,1,0,0,0,17510.44,1,Standard
CUST000012,38,>150K,7,Poor,1,1,1,0,1,0,7221.17,1,New
CUST000013,48,50-75K,9,Good,1,1,1,0,0,0,9379.15,1,New
CUST000014,22,75-100K,95,Fair,2,1,0,0,0,0,7452.8,1,Standard
CUST000015,22,<30K,23,Fair,3,1,1,0,0,0,36547.29,0,Growth
CUST000016,36,50-75K,1,Very Good,1,1,0,0,0,0,1655.66,0,New
CUST000017,29,<30K,15,Poor,4,1,1,1,0,0,1335.62,1,Standard
CUST000018,49,50-75K,43,Excellent,3,1,1,0,0,0,1180.7,1,Standard
CUST000019,31,100-150K,77,Good,4,1,1,0,0,0,9143.34,0,Standard
CUST000020,23,>150K,6,Excellent,1,1,1,0,0,0,4289.57,0,New
CUST000021,66,50-75K,5,Poor,4,1,1,0,0,0,1303.09,1,New
CUST000022,41,50-75K,122,Very Good,6,1,1,0,0,0,3896.5,0,Standard
CUST000023,46,100-150K,66,Good,4,1,0,0,1,0,65438.14,0,Growth
CUST000024,23,75-100K,42,Very Good,1,1,1,0,1,0,8208.89,1,Standard
CUST000025,36,<30K,70,Good,2,1,1,0,0,0,28852.12,0,Standard
CUST000026,46,50-75K,26,Good,2,1,1,1,1,0,1028.69,0,Standard
CUST000027,27,30-50K,68,Very Good,2,1,1,0,0,0,6977.39,0,Standard
CUST000028,50,50-75K,22,Good,1,1,1,0,1,0,9093.03,1,Standard
CUST000029,35,50-75K,13,Poor,5,1,1,0,0,0,11275.65,0,Standard
CUST000030,40,50-75K,62,Good,2,1,1,0,1,0,3627.53,1,Standard
CUST000031,35,30-50K,26,Very Good,2,1,0,0,0,0,16057.92,0,Standard
CUST000032,72,30-50K,191,Good,1,1,1,0,0,0,8867.89,1,Standard
CUST000033,44,50-75K,20,Good,3,1,1,0,0,0,5462.97,1,Standard
CUST000034,29,75-100K,122,Poor,1,0,1,1,1,0,2939.29,0,Standard
CUST000035,57,75-100K,129,Very Good,4,1,1,0,1,0,826.83,1,Standard
CUST000036,26,30-50K,13,Very Good,2,1,1,1,0,0,500.0,0,Standard
CUST000037,48,100-150K,76,Good,2,1,1,0,0,0,2191.24,0,Standard
CUST000038,22,100-150K,27,Good,5,1,1,0,0,0,4083.83,0,Standard
CUST000039,25,30-50K,119,Fair,1,1,1,1,0,0,2184.15,1,Standard
CUST000040,47,<30K,28,Fair,3,1,0,0,1,0,7430.35,0,Standard
CUST000041,56,75-100K,65,Fair,1,1,1,0,0,0,13194.4,1,Standard
CUST000042,47,75-100K,30,Good,4,1,1,1,0,0,1095.84,1,Standard
CUST000043,43,>150K,12,Good,1,1,1,0,0,0,9499.63,1,Standard
CUST000044,40,100-150K,10,Excellent,2,1,1,1,0,0,4759.78,0,New
CUST000045,22,50-75K,26,Poor,1,1,1,0,0,0,621.41,1,Standard
CUST000046,34,50-75K,67,Very Good,3,1,1,0,0,0,14620.27,1,Standard
CUST000047,38,<30K,44,Good,1,1,0,0,0,0,1599.33,1,Standard
CUST000048,60,30-50K,56,Good,6,1,1,0,0,0,107394.6,1,Growth
CUST000049,50,50-75K,15,Very Good,3,1,1,0,0,0,19954.06,0,Standard
CUST000050,22,50-75K,31,Fair,2,1,1,1,0,0,4142.5,1,Standard
CUST000051,49,50-75K,2,Poor,5,1,1,0,1,0,4905.06,1,New
CUST000052,39,75-100K,81,Very Good,1,1,1,0,0,0,925.54,0,Standard
CUST000053,34,30-50K,220,Good,2,1,0,0,1,0,40464.63,1,Standard
CUST000054,54,50-75K,25,Poor,2,0,0,0,0,0,1773.94,1,Standard
CUST000055,60,<30K,1,Good,1,1,0,0,0,0,5168.78,0,New
CUST000056,58,50-75K,8,Good,1,1,1,0,0,0,2274.36,0,New
CUST000057,32,75-100K,50,Very Good,2,1,1,0,0,0,8546.77,1,Standard
CUST000058,40,75-100K,45,Fair,1,1,0,1,1,0,4793.08,0,Standard
CUST000059,49,>150K,74,Good,2,1,0,1,1,0,2318.11,1,Standard
CUST000060,59,30-50K,14,Good,2,1,1,1,0,0,8580.14,1,Standard
CUST000061,37,50-75K,69,Good,2,1,0,0,1,0,29872.5,1,Standard
CUST000062,42,30-50K,55,Excellent,2,1,0,0,0,0,5211.42,1,Standard
CUST000063,28,50-75K,18,Poor,5,1,1,0,0,0,500.0,1,Standard
CUST000064,27,100-150K,37,Excellent,6,1,1,1,0,0,7713.68,1,Standard
CUST000065,57,75-100K,7,Very Good,2,1,1,0,0,0,835.52,1,New
CUST000066,65,100-150K,28,Very Good,1,1,0,0,0,0,950.17,0,Standard
CUST000067,43,30-50K,102,Good,3,1,1,0,0,0,838.81,0,Standard
CUST000068,60,100-150K,26,Good,1,1,1,0,1,0,11470.02,0,Standard
CUST000069,50,<30K,87,Very Good,1,1,1,1,1,0,860.25,1,Standard
CUST000070,35,100-150K,42,Excellent,2,1,1,0,1,0,16070.15,1,Standard
CUST000071,50,30-50K,10,Good,2,1,1,0,0,0,13005.19,1,New
CUST000072,68,30-50K,41,Fair,1,1,1,1,0,0,1744.96,1,Standard
CUST000073,44,50-75K,33,Good,1,1,1,0,1,0,8733.7,0,Standard
CUST000074,68,100-150K,24,Excellent,4,1,0,1,0,0,20206.36,1,Growth
