customer_id,age,income_bracket,account_tenure_months,credit_score_tier,num_products,has_checking,has_savings,has_mortgage,has_auto_loan,has_credit_card,avg_monthly_balance,digital_user,customer_segment,campaign_group
CUST000001,52.0,30-50K,17,Good,1,1,1,1,0,0,5116.4,0,Standard,Treatment
CUST000002,42.0,,9,Good,1,1,1,1,0,0,1000.57,0,New,Treatment
CUST000003,54.0,50-75K,94,Good,2,1,1,1,0,0,21231.3,1,Standard,Control
CUST000004,67.0,,24,Good,3,1,0,0,1,0,4632.42,1,Standard,Control
CUST000005,41.0,30-50K,24,Poor,4,1,0,0,0,0,4056.99,0,Standard,Control
CUST000006,41.0,,8,Very Good,3,1,1,0,0,0,1216.83,1,New,Control
CUST000007,68.0,75-100K,23,Very Good,2,1,1,1,0,0,9058.88,1,Standard,Treatment
CUST000008,56.0,,98,Very Good,1,1,0,0,0,0,5928.47,0,Standard,Treatment
CUST000009,37.0,50-75K,21,Good,3,1,0,1,0,0,5406.69,1,Standard,Control
CUST000010,,<30K,145,Good,2,1,1,0,0,0,,0,Standard,Treatment
CUST000011,38.0,30-50K,140,Good,4,1,1,0,0,0,17510.44,1,Standard,Control
CUST000012,38.0,>150K,7,Poor,1,1,1,0,1,0,,1,New,Treatment
CUST000013,48.0,50-75K,9,Good,1,1,1,0,0,0,9379.15,1,New,Control
CUST000014,,75-100K,95,Fair,2,1,0,0,0,0,7452.8,1,Standard,Control
CUST000015,22.0,<30K,23,Fair,3,1,1,0,0,0,36547.29,0,Growth,Treatment
CUST000016,,,1,Very Good,1,1,0,0,0,0,1655.66,0,New,Control
CUST000017,29.0,<30K,15,Poor,4,1,1,1,0,0,1335.62,1,Standard,Control
CUST000018,49.0,50-75K,43,Excellent,3,1,1,0,0,0,1180.7,1,Standard,Treatment
CUST000019,31.0,100-150K,77,Good,4,1,1,0,0,0,9143.34,0,Standard,Control
CUST000020,23.0,>150K,6,Excellent,1,1,1,0,0,0,,0,New,Treatment
CUST000021,66.0,50-75K,5,Poor,4,1,1,0,0,0,,1,New,Treatment
CUST000022,41.0,,122,Very Good,6,1,1,0,0,0,3896.5,0,Standard,Control
CUST000023,46.0,100-150K,66,Good,4,1,0,0,1,0,65438.14,0,Growth,Control
CUST000024,23.0,75-100K,42,Very Good,1,1,1,0,1,0,8208.89,1,Standard,Control
CUST000025,,<30K,70,Good,2,1,1,0,0,0,28852.12,0,Standard,Control
CUST000026,,50-75K,26,Good,2,1,1,1,1,0,1028.69,0,Standard,Control
CUST000027,27.0,30-50K,68,Very Good,2,1,1,0,0,0,6977.39,0,Standard,Control
CUST000028,50.0,,22,Good,1,1,1,0,1,0,9093.03,1,Standard,Treatment
CUST000029,35.0,50-75K,13,Poor,5,1,1,0,0,0,,0,Standard,Control
CUST000030,,50-75K,62,Good,2,1,1,0,1,0,3627.53,1,Standard,Control
CUST000031,35.0,30-50K,26,Very Good,2,1,0,0,0,0,,0,Standard,Treatment
CUST000032,72.0,30-50K,191,Good,1,1,1,0,0,0,,1,Standard,Treatment
