transaction_id,customer_id,transaction_date,amount,merchant_category,transaction_type
TXN00046532,CUST000001,2024-01-29,392.12,Groceries,Debit
TXN00025901,CUST000001,2024-02-25,153.31,Gas,Debit
TXN00015290,CUST000001,2024-03-03,208.43,Shopping,Credit
TXN00041482,CUST000001,2024-03-31,113.55,Groceries,Debit
TXN00038764,CUST000001,2024-04-06,153.58,Restaurants,Debit
TXN00029570,CUST000001,2024-06-08,592.85,Groceries,Debit
TXN00008086,CUST000001,2024-06-10,408.45,Groceries,Debit
TXN00014012,CUST000001,2024-06-19,83.6,Groceries,Credit
TXN00018754,CUST000001,2024-07-15,6.53,Groceries,Debit
TXN00006747,CUST000001,2024-07-29,295.87,Entertainment,Debit
TXN00026645,CUST000001,2024-07-31,230.62,Groceries,Debit
TXN00000867,CUST000001,2024-09-10,42.77,Groceries,Credit
TXN00035233,CUST000001,2024-10-11,130.14,Groceries,Credit
TXN00014775,CUST000001,2024-10-13,838.39,Restaurants,Credit
TXN00014330,CUST000001,2024-10-28,11.74,Entertainment,Debit
TXN00037979,CUST000002,2024-03-17,3839.57,Restaurants,Debit
TXN00025320,CUST000002,2024-05-13,21.8,Utilities,Credit
TXN00004760,CUST000002,2024-07-02,68.64,Utilities,Debit
TXN00006322,CUST000002,2024-07-21,701.56,Healthcare,Debit
TXN00003334,CUST000002,2024-08-06,197.58,Entertainment,Credit
TXN00020951,CUST000002,2024-08-15,32.38,Shopping,Debit
TXN00046157,CUST000002,2024-09-25,343.31,Entertainment,Debit
TXN00018847,CUST000003,2024-01-29,93.85,Gas,Credit
TXN00004972,CUST000003,2024-02-09,7.86,Gas,Credit
TXN00018592,CUST000003,2024-02-25,953.73,Restaurants,Debit
TXN00041340,CUST000003,2024-02-29,174.56,Shopping,Credit
TXN00005457,CUST000003,2024-04-24,56.57,Restaurants,Debit
TXN00014517,CUST000003,2024-06-24,15.26,Restaurants,Debit
TXN00041936,CUST000003,2024-06-24,14.52,Travel,Debit
TXN00016026,CUST000003,2024-08-12,126.08,Restaurants,Debit
TXN00036370,CUST000003,2024-08-29,45.21,Shopping,Debit
TXN00042640,CUST000004,2024-02-05,5.0,Healthcare,Debit
TXN00006778,CUST000004,2024-02-09,144.39,Restaurants,Credit
TXN00043318,CUST000004,2024-04-03,21.81,Gas,Debit
TXN00002937,CUST000004,2024-05-18,111.74,Shopping,Debit
TXN00022132,CUST000004,2024-06-04,283.59,Utilities,Debit
TXN00049295,CUST000004,2024-09-05,8.88,Groceries,Debit
TXN00016920,CUST000004,2024-10-06,12.27,Groceries,Debit
TXN00018045,CUST000004,2024-10-11,90.0,Gas,Debit
TXN00022367,CUST000005,2024-01-07,17.62,Groceries,Debit
TXN00041109,CUST000005,2024-01-25,165.27,Groceries,Debit
TXN00006064,CUST000005,2024-03-26,24.3,Groceries,Credit
TXN00012678,CUST000005,2024-05-18,30.04,Travel,Debit
TXN00023409,CUST000005,2024-06-17,246.29,Travel,Debit
TXN00021542,CUST000005,2024-07-09,144.63,Shopping,Credit
TXN00008863,CUST000005,2024-07-20,3525.15,Travel,Debit
TXN00037805,CUST000005,2024-08-02,105.88,Entertainment,Debit
TXN00000413,CUST000005,2024-08-04,156.06,Groceries,Debit
TXN00023896,CUST000005,2024-08-15,927.94,Entertainment,Credit
TXN00009539,CUST000005,2024-08-16,80.42,Groceries,Credit
TXN00032476,CUST000006,2024-01-25,83.13,Groceries,Credit
TXN00019987,CUST000006,2024-02-06,687.04,Travel,Debit
TXN00016362,CUST000006,2024-02-10,251.6,Restaurants,Debit
TXN00042439,CUST000006,2024-05-01,55.23,Restaurants,Debit
TXN00008505,CUST000006,2024-05-08,174.71,Groceries,Debit
TXN00048824,CUST000006,2024-05-13,181.31,Entertainment,Debit
TXN00000653,CUST000006,2024-05-15,77.71,Utilities,Debit
TXN00026150,CUST000006,2024-06-27,234.41,Restaurants,Debit
TXN00007243,CUST000006,2024-07-29,2626.49,Restaurants,Credit
TXN00002632,CUST000006,2024-09-09,111.2,Groceries,Credit
TXN00045449,CUST000006,2024-10-03,5.0,Entertainment,Debit
TXN00013595,CUST000006,2024-10-16,14.31,Groceries,Debit
TXN00009523,CUST000007,2024-02-28,398.79,Entertainment,Debit
TXN00008192,CUST000007,2024-04-13,8.49,Restaurants,Debit
TXN00015223,CUST000007,2024-04-18,600.08,Restaurants,Debit
TXN00043308,CUST000007,2024-07-22,66.39,Groceries,Credit
TXN00024465,CUST000007,2024-08-29,28.17,Shopping,Credit
TXN00046241,CUST000007,2024-09-03,125.56,Groceries,Debit
TXN00043196,CUST000007,2024-09-26,23.04,Shopping,Credit
TXN00030385,CUST000008,2024-04-10,161.68,Restaurants,Credit
TXN00015830,CUST000008,2024-09-13,70.0,Groceries,Debit
TXN00031180,CUST000008,2024-09-26,267.87,Utilities,Credit
TXN00036309,CUST000009,2024-02-05,102.07,Gas,Debit
TXN00004218,CUST000009,2024-03-24,6.48,Shopping,Credit
TXN00039252,CUST000009,2024-04-09,21.84,Groceries,Debit
TXN00025428,CUST000009,2024-04-28,5.0,Gas,Debit
TXN00021046,CUST000009,2024-04-29,342.2,Groceries,Credit
TXN00021001,CUST000009,2024-05-18,106.64,Groceries,Debit
TXN00009558,CUST000009,2024-05-26,39.97,Groceries,Debit
TXN00030477,CUST000009,2024-06-09,91.09,Gas,Debit
TXN00005721,CUST000009,2024-07-04,16.12,Entertainment,Debit
TXN00046690,CUST000009,2024-07-05,14.09,Groceries,Debit
TXN00008778,CUST000009,2024-07-30,651.21,Groceries,Debit
TXN00043996,CUST000009,2024-08-29,17.79,Groceries,Credit
TXN00037084,CUST000009,2024-10-19,79.84,Gas,Debit
TXN00034419,CUST000009,2024-10-23,141.17,Shopping,Debit
TXN00019614,CUST000010,2024-03-31,5.0,Restaurants,Credit
TXN00017239,CUST000010,2024-05-15,373.83,Groceries,Credit
TXN00026049,CUST000010,2024-06-16,756.02,Groceries,Debit
TXN00030335,CUST000010,2024-06-19,5.0,Entertainment,Credit
TXN00012607,CUST000010,2024-09-02,260.24,Shopping,Debit
TXN00007236,CUST000011,2024-01-13,153.63,Gas,Debit
TXN00040539,CUST000011,2024-01-15,287.49,Utilities,Debit
TXN00034332,CUST000011,2024-02-04,28.07,Restaurants,Credit
TXN00042732,CUST000011,2024-02-06,340.78,Restaurants,Credit
TXN00034137,CUST000011,2024-02-10,141.6,Entertainment,Debit
TXN00019542,CUST000011,2024-03-08,933.14,Entertainment,Debit
TXN00034752,CUST000011,2024-04-11,120.93,Restaurants,Debit
TXN00001536,CUST000011,2024-04-13,54.31,Restaurants,Credit
TXN00029412,CUST000011,2024-05-02,240.41,Healthcare,Credit
TXN00028210,CUST000011,2024-05-18,114.88,Entertainment,Debit
TXN00000114,CUST000011,2024-05-25,5.0,Groceries,Debit
TXN00005895,CUST000011,2024-07-02,926.14,Gas,Debit
TXN00004365,CUST000011,2024-09-18,1969.89,Restaurants,Debit
TXN00007418,CUST000012,2024-02-16,169.69,Entertainment,Debit
TXN00025113,CUST000012,2024-03-17,25.15,Restaurants,Debit
TXN00012415,CUST000012,2024-04-06,567.8,Utilities,Credit
TXN00001151,CUST000012,2024-05-11,202.03,Groceries,Debit
TXN00033756,CUST000012,2024-06-14,35.41,Groceries,Debit
TXN00016893,CUST000012,2024-08-06,59.07,Groceries,Debit
TXN00031076,CUST000012,2024-09-20,53.76,Restaurants,Credit
TXN00000797,CUST000013,2024-01-19,276.79,Gas,Debit
TXN00005358,CUST000013,2024-02-27,5.99,Gas,Debit
TXN00013980,CUST000013,2024-03-19,277.51,Groceries,Debit
TXN00026776,CUST000013,2024-03-28,27.78,Groceries,Debit
TXN00000680,CUST000013,2024-04-23,65.6,Groceries,Debit
TXN00020970,CUST000013,2024-05-08,20.21,Shopping,Debit
TXN00022816,CUST000013,2024-05-17,17.78,Groceries,Debit
TXN00006190,CUST000013,2024-06-30,89.73,Groceries,Debit
TXN00031661,CUST000013,2024-08-15,161.01,Groceries,Debit
TXN00040647,CUST000013,2024-08-18,13.37,Gas,Debit
TXN00013361,CUST000013,2024-08-24,209.5,Shopping,Debit
TXN00032719,CUST000014,2024-01-14,25.5,Groceries,Debit
TXN00041333,CUST000014,2024-01-28,58.64,Groceries,Debit
TXN00006992,CUST000014,2024-02-02,24.38,Gas,Debit
TXN00006136,CUST000014,2024-03-26,55.63,Groceries,Debit
TXN00046984,CUST000014,2024-04-07,218.78,Gas,Debit
TXN00028699,CUST000014,2024-05-10,1161.85,Gas,Debit
TXN00017014,CUST000014,2024-05-23,228.44,Entertainment,Debit
TXN00034977,CUST000014,2024-05-29,53.84,Groceries,Credit
TXN00045090,CUST000014,2024-05-30,115.52,Utilities,Credit
TXN00015021,CUST000014,2024-08-06,110.93,Gas,Debit
TXN00014102,CUST000014,2024-08-12,17.44,Groceries,Credit
TXN00042321,CUST000014,2024-10-04,583.43,Restaurants,Credit
TXN00017721,CUST000014,2024-10-20,131.13,Shopping,Debit
TXN00044699,CUST000015,2024-03-08,24.76,Gas,Debit
TXN00026416,CUST000015,2024-03-21,153.58,Gas,Debit
TXN00015651,CUST000015,2024-04-06,91.93,Groceries,Credit
TXN00014834,CUST000015,2024-04-14,425.07,Groceries,Debit
TXN00012713,CUST000015,2024-05-28,81.21,Gas,Debit
TXN00021534,CUST000015,2024-06-05,15.39,Shopping,Debit
TXN00018798,CUST000015,2024-06-11,11.27,Restaurants,Debit
TXN00048056,CUST000015,2024-07-25,26.03,Shopping,Credit
TXN00027907,CUST000015,2024-09-12,2992.65,Groceries,Debit
TXN00030119,CUST000015,2024-09-29,336.21,Restaurants,Debit
TXN00033217,CUST000015,2024-10-12,13.81,Shopping,Credit
TXN00044207,CUST000016,2024-02-10,221.63,Shopping,Credit
TXN00045948,CUST000016,2024-02-18,9.44,Groceries,Debit
TXN00027238,CUST000016,2024-02-22,21.63,Groceries,Debit
TXN00041253,CUST000016,2024-02-25,32.01,Restaurants,Credit
TXN00036510,CUST000016,2024-02-26,40.67,Healthcare,Debit
TXN00014914,CUST000016,2024-03-12,5.0,Utilities,Debit
TXN00023856,CUST000016,2024-04-17,319.47,Restaurants,Debit
TXN00001440,CUST000016,2024-05-09,106.14,Gas,Credit
TXN00014807,CUST000016,2024-05-13,263.05,Healthcare,Debit
TXN00042678,CUST000016,2024-06-03,59.58,Shopping,Debit
TXN00018480,CUST000016,2024-07-30,266.24,Entertainment,Credit
TXN00032624,CUST000016,2024-09-30,5.89,Travel,Debit
TXN00010338,CUST000016,2024-10-30,100.88,Groceries,Credit
TXN00031426,CUST000017,2024-01-27,33.4,Shopping,Debit
TXN00010612,CUST000017,2024-02-08,336.64,Groceries,Debit
TXN00033215,CUST000017,2024-02-18,214.19,Restaurants,Debit
TXN00048790,CUST000017,2024-02-24,5.0,Restaurants,Debit
TXN00045512,CUST000017,2024-05-11,37.29,Gas,Debit
TXN00000709,CUST000017,2024-07-19,18.74,Groceries,Credit
TXN00037928,CUST000018,2024-01-24,34.3,Groceries,Debit
TXN00011600,CUST000018,2024-02-19,123.61,Groceries,Debit
TXN00015401,CUST000018,2024-03-06,94.66,Entertainment,Debit
TXN00038195,CUST000018,2024-03-30,290.81,Entertainment,Debit
TXN00040030,CUST000018,2024-05-14,9.23,Groceries,Debit
TXN00036784,CUST000018,2024-06-16,1084.13,Healthcare,Debit
TXN00035013,CUST000018,2024-06-23,118.2,Groceries,Debit
TXN00035538,CUST000018,2024-10-03,45.32,Restaurants,Credit
TXN00044133,CUST000018,2024-10-07,104.24,Shopping,Debit
TXN00010725,CUST000018,2024-10-24,384.01,Gas,Debit
TXN00038448,CUST000018,2024-10-25,50.18,Gas,Debit
TXN00014437,CUST000019,2024-03-14,25.21,Entertainment,Credit
TXN00009115,CUST000019,2024-05-06,53.96,Groceries,Debit
TXN00037574,CUST000019,2024-09-03,140.98,Groceries,Debit
TXN00000368,CUST000020,2024-02-06,112.46,Gas,Debit
TXN00017920,CUST000020,2024-02-07,31.82,Gas,Debit
TXN00020276,CUST000020,2024-06-05,23.2,Restaurants,Debit
TXN00046818,CUST000020,2024-07-13,116.94,Restaurants,Debit
TXN00006860,CUST000020,2024-07-15,97.24,Shopping,Debit
TXN00018243,CUST000020,2024-07-15,1149.32,Shopping,Debit
TXN00026476,CUST000020,2024-09-04,450.07,Restaurants,Debit
TXN00023183,CUST000020,2024-09-05,329.97,Groceries,Debit
TXN00046914,CUST000020,2024-09-14,15.21,Restaurants,Credit
TXN00023401,CUST000020,2024-09-19,24.01,Healthcare,Debit
TXN00005707,CUST000020,2024-10-08,156.63,Gas,Debit
TXN00006710,CUST000021,2024-01-02,32.21,Groceries,Credit
TXN00029486,CUST000021,2024-01-02,39.3,Gas,Credit
TXN00010234,CUST000021,2024-01-23,104.24,Shopping,Debit
TXN00029284,CUST000021,2024-01-24,5.0,Groceries,Debit
TXN00039243,CUST000021,2024-07-29,298.99,Groceries,Debit
TXN00026883,CUST000021,2024-08-08,223.83,Gas,Credit
TXN00018381,CUST000021,2024-08-18,61.8,Groceries,Debit
TXN00008626,CUST000021,2024-08-28,64.85,Restaurants,Debit
TXN00033104,CUST000022,2024-01-17,2744.56,Groceries,Debit
TXN00029571,CUST000022,2024-01-25,5.0,Groceries,Debit
TXN00013375,CUST000022,2024-01-29,50.9,Restaurants,Debit
TXN00019510,CUST000022,2024-01-30,12.57,Groceries,Debit
TXN00043882,CUST000022,2024-09-10,23.68,Restaurants,Debit
TXN00021689,CUST000022,2024-10-09,16.14,Groceries,Debit
TXN00022264,CUST000023,2024-01-16,12.9,Groceries,Credit
TXN00038599,CUST000023,2024-01-28,117.35,Healthcare,Debit
TXN00013905,CUST000023,2024-03-09,27.79,Healthcare,Debit
TXN00020121,CUST000023,2024-04-12,384.81,Shopping,Credit
TXN00025172,CUST000023,2024-06-03,49.45,Healthcare,Debit
TXN00049438,CUST000023,2024-06-05,44.53,Shopping,Debit
TXN00033737,CUST000023,2024-06-07,20.95,Travel,Debit
TXN00030236,CUST000023,2024-06-08,27.58,Gas,Credit
TXN00006536,CUST000023,2024-06-13,59.75,Utilities,Debit
TXN00038581,CUST000023,2024-07-09,41.81,Gas,Credit
TXN00005611,CUST000023,2024-07-11,1215.4,Groceries,Credit
TXN00045252,CUST000023,2024-07-12,36.83,Gas,Debit
TXN00046176,CUST000023,2024-07-17,107.91,Gas,Credit
TXN00040845,CUST000023,2024-08-01,89.87,Groceries,Debit
TXN00049077,CUST000023,2024-09-25,140.75,Gas,Debit
TXN00006886,CUST000023,2024-09-28,485.1,Groceries,Credit
TXN00011964,CUST000023,2024-10-09,83.14,Gas,Debit
TXN00041084,CUST000023,2024-10-28,10.29,Restaurants,Debit
TXN00042297,CUST000023,2024-10-29,209.18,Groceries,Debit
TXN00033845,CUST000024,2024-02-19,5.0,Entertainment,Debit
TXN00048549,CUST000024,2024-06-01,130.1,Gas,Credit
TXN00047286,CUST000024,2024-07-22,72.48,Restaurants,Debit
TXN00028075,CUST000024,2024-08-08,208.65,Shopping,Credit
TXN00042961,CUST000024,2024-08-29,186.34,Restaurants,Debit
TXN00026475,CUST000025,2024-01-07,14.89,Restaurants,Debit
TXN00037773,CUST000025,2024-01-18,971.61,Groceries,Debit
TXN00045774,CUST000025,2024-02-22,18.33,Shopping,Debit
TXN00038938,CUST000025,2024-03-27,240.07,Groceries,Debit
TXN00006971,CUST000025,2024-04-05,9.36,Travel,Debit
TXN00023919,CUST000025,2024-05-04,66.0,Restaurants,Debit
TXN00001862,CUST000025,2024-06-04,78.14,Shopping,Debit
TXN00003646,CUST000025,2024-06-11,5.05,Groceries,Debit
TXN00023547,CUST000025,2024-06-27,61.17,Entertainment,Debit
TXN00049486,CUST000025,2024-07-06,124.59,Groceries,Credit
TXN00004031,CUST000025,2024-07-07,1722.98,Shopping,Debit
TXN00000801,CUST000025,2024-08-05,210.01,Restaurants,Debit
TXN00030509,CUST000025,2024-09-06,642.63,Groceries,Debit
TXN00042190,CUST000025,2024-09-19,9.6,Restaurants,Credit
TXN00014038,CUST000025,2024-09-25,12.43,Entertainment,Debit
TXN00046932,CUST000026,2024-01-02,50.59,Groceries,Credit
TXN00015343,CUST000026,2024-01-10,132.49,Utilities,Debit
TXN00008188,CUST000026,2024-01-23,5.0,Shopping,Debit
TXN00020816,CUST000026,2024-02-01,24.93,Groceries,Debit
TXN00031895,CUST000026,2024-02-19,129.74,Groceries,Debit
TXN00012012,CUST000026,2024-03-02,78.21,Groceries,Debit
TXN00004290,CUST000026,2024-03-11,10.01,Travel,Debit
TXN00034759,CUST000026,2024-06-09,149.55,Restaurants,Debit
TXN00042290,CUST000026,2024-07-05,38.56,Groceries,Credit
TXN00047201,CUST000026,2024-07-23,225.42,Shopping,Credit
TXN00032580,CUST000026,2024-08-12,31.63,Gas,Debit
TXN00038922,CUST000026,2024-10-13,454.55,Gas,Debit
TXN00005902,CUST000027,2024-01-03,59.32,Entertainment,Credit
TXN00038305,CUST000027,2024-01-12,182.12,Shopping,Credit
TXN00046110,CUST000027,2024-02-19,10.18,Gas,Credit
TXN00025580,CUST000027,2024-03-01,79.17,Entertainment,Credit
TXN00011753,CUST000027,2024-03-07,689.82,Groceries,Debit
TXN00036663,CUST000027,2024-04-01,198.04,Groceries,Debit
TXN00043173,CUST000027,2024-05-08,90.31,Restaurants,Debit
TXN00044596,CUST000027,2024-06-07,50.75,Groceries,Debit
TXN00042348,CUST000027,2024-07-12,317.65,Restaurants,Credit
TXN00041796,CUST000027,2024-07-19,30.21,Gas,Debit
TXN00002603,CUST000027,2024-08-07,535.05,Travel,Debit
TXN00026425,CUST000027,2024-08-19,31.78,Entertainment,Debit
TXN00016675,CUST000027,2024-08-25,33.87,Groceries,Debit
TXN00038267,CUST000027,2024-08-28,52.21,Entertainment,Debit
TXN00031678,CUST000027,2024-10-14,871.72,Gas,Debit
TXN00021838,CUST000028,2024-02-19,83.1,Gas,Debit
TXN00033070,CUST000028,2024-03-27,87.2,Gas,Debit
TXN00014527,CUST000028,2024-04-28,436.63,Gas,Debit
TXN00048764,CUST000028,2024-06-01,606.72,Shopping,Debit
TXN00013665,CUST000028,2024-06-11,56.69,Gas,Credit
TXN00010648,CUST000028,2024-08-06,131.11,Gas,Debit
TXN00024061,CUST000028,2024-08-24,206.88,Entertainment,Debit
TXN00049832,CUST000028,2024-09-13,8.1,Groceries,Debit
TXN00006456,CUST000028,2024-09-24,534.98,Groceries,Debit
TXN00042927,CUST000028,2024-09-24,428.77,Restaurants,Debit
TXN00042483,CUST000029,2024-01-08,185.35,Restaurants,Debit
TXN00032501,CUST000029,2024-05-14,235.9,Groceries,Credit
TXN00015531,CUST000029,2024-06-27,59.74,Groceries,Debit
TXN00004153,CUST000029,2024-08-31,1351.11,Gas,Debit
TXN00019109,CUST000029,2024-09-25,401.75,Groceries,Debit
TXN00041900,CUST000030,2024-02-09,236.94,Restaurants,Debit
TXN00034783,CUST000030,2024-03-17,99.29,Restaurants,Debit
TXN00045254,CUST000030,2024-05-22,10.5,Restaurants,Debit
TXN00038118,CUST000030,2024-06-06,185.83,Gas,Debit
TXN00040568,CUST000030,2024-08-08,2876.58,Entertainment,Credit
TXN00012020,CUST000030,2024-08-21,32.75,Shopping,Credit
TXN00047136,CUST000030,2024-10-05,433.65,Groceries,Credit
TXN00045152,CUST000030,2024-10-07,64.05,Gas,Credit
TXN00035607,CUST000030,2024-10-13,11.5,Groceries,Debit
TXN00028186,CUST000030,2024-10-14,222.08,Groceries,Credit
TXN00027095,CUST000030,2024-10-30,61.49,Gas,Debit
TXN00046524,CUST000031,2024-01-31,31.37,Entertainment,Debit
TXN00018239,CUST000031,2024-02-21,47.5,Shopping,Debit
TXN00018631,CUST000031,2024-05-19,42.92,Restaurants,Credit
TXN00024883,CUST000031,2024-07-23,8.89,Healthcare,Credit
TXN00033507,CUST000031,2024-08-16,178.27,Shopping,Debit
TXN00046045,CUST000031,2024-10-13,155.23,Shopping,Debit
TXN00044114,CUST000032,2024-02-15,149.97,Groceries,Credit
TXN00021872,CUST000032,2024-02-22,668.41,Travel,Credit
TXN00028438,CUST000032,2024-03-28,87.67,Groceries,Credit
TXN00000934,CUST000032,2024-03-30,130.91,Groceries,Debit
TXN00016984,CUST000032,2024-04-18,364.97,Utilities,Debit
TXN00029649,CUST000032,2024-05-14,17.64,Healthcare,Debit
TXN00049679,CUST000032,2024-05-27,79.23,Restaurants,Debit
TXN00028900,CUST000032,2024-06-27,237.41,Restaurants,Debit
TXN00004870,CUST000032,2024-08-04,25.3,Groceries,Credit
TXN00011178,CUST000032,2024-09-12,358.58,Gas,Debit
TXN00034287,CUST000032,2024-09-14,81.69,Travel,Credit
TXN00026534,CUST000032,2024-10-04,14.41,Entertainment,Debit
TXN00047632,CUST000033,2024-01-14,582.58,Gas,Debit
TXN00045480,CUST000033,2024-03-06,81.02,Healthcare,Credit
TXN00046934,CUST000033,2024-03-13,161.03,Restaurants,Credit
TXN00048516,CUST000033,2024-04-27,85.57,Groceries,Debit
TXN00035168,CUST000033,2024-05-07,73.92,Healthcare,Credit
TXN00011017,CUST000033,2024-09-01,224.97,Restaurants,Debit
TXN00001287,CUST000034,2024-02-11,302.12,Restaurants,Debit
TXN00017906,CUST000034,2024-02-13,34.35,Groceries,Debit
TXN00039652,CUST000034,2024-04-28,2419.75,Restaurants,Debit
TXN00044032,CUST000034,2024-05-11,294.84,Entertainment,Credit
TXN00012096,CUST000034,2024-06-26,157.71,Shopping,Debit
TXN00023466,CUST000034,2024-07-06,2062.02,Shopping,Debit
TXN00010837,CUST000034,2024-08-26,178.92,Restaurants,Debit
TXN00012835,CUST000034,2024-08-29,76.81,Entertainment,Credit
TXN00019309,CUST000034,2024-09-19,34.02,Groceries,Debit
TXN00013985,CUST000035,2024-01-28,22.36,Restaurants,Debit
TXN00028920,CUST000035,2024-02-07,40.61,Restaurants,Debit
TXN00041126,CUST000035,2024-03-21,838.28,Groceries,Debit
TXN00001191,CUST000035,2024-03-24,6.28,Entertainment,Debit
TXN00042204,CUST000035,2024-04-09,93.29,Groceries,Credit
